iter	Logloss
0	0.6233415449
1	0.5749586639
2	0.5308177727
3	0.4964984155
4	0.4664784855
5	0.4460402254
6	0.423956179
7	0.4092761117
8	0.3969366204
9	0.3859685366
10	0.3755782082
11	0.364539546
12	0.3550546157
13	0.3465846072
14	0.3409506667
15	0.3337419319
16	0.3272573589
17	0.3234879113
18	0.3199812184
19	0.3159209046
20	0.3116162476
21	0.3084965366
22	0.3051201519
23	0.3015409252
24	0.2971762798
25	0.2931211429
26	0.2893649794
27	0.2864833626
28	0.2818698099
29	0.2787710456
30	0.2747465196
31	0.2708813222
32	0.2682641473
33	0.2653426906
34	0.2631104557
35	0.2604699894
36	0.2587067107
37	0.2556805625
38	0.25332888
39	0.251018683
40	0.2486005889
41	0.2461413408
42	0.2434177135
43	0.2405955324
44	0.2383197593
45	0.2365321237
46	0.2344304801
47	0.2318193769
48	0.2300521607
49	0.2272160601
50	0.2253222962
51	0.2237458618
52	0.2218394202
53	0.2203512132
54	0.2185796661
55	0.2171301696
56	0.2157369293
57	0.21406538
58	0.2121935492
59	0.2106391194
60	0.209554939
61	0.207562984
62	0.2058894396
63	0.2041168257
64	0.2021808027
65	0.2009278992
66	0.1996852717
67	0.1975928086
68	0.1961778408
69	0.1942782555
