iter	Passed	Remaining
0	5	361
1	8	278
2	11	248
3	14	232
4	17	231
5	21	231
6	25	229
7	29	225
8	32	221
9	36	221
10	39	213
11	42	207
12	45	200
13	50	200
14	53	197
15	56	191
16	59	185
17	62	180
18	68	183
19	71	178
20	74	174
21	77	169
22	81	166
23	85	164
24	88	159
25	91	155
26	94	150
27	98	147
28	102	144
29	105	140
30	108	135
31	110	131
32	116	130
33	120	127
34	123	123
35	126	119
36	130	116
37	135	113
38	138	110
39	142	107
40	148	104
41	151	100
42	154	97
43	157	93
44	160	88
45	164	85
46	167	82
47	170	78
48	173	74
49	176	70
50	181	67
51	184	63
52	187	60
53	190	56
54	193	52
55	198	49
56	201	45
57	204	42
58	207	38
59	212	35
60	215	31
61	219	28
62	222	24
63	224	21
64	230	17
65	234	14
66	238	10
67	242	7
68	246	3
69	249	0
